check_id,idea_id,query,marketplace,access_status,results_visible,top_items_checked,approx_price_min,approx_price_max,reviews_max_visible,rating_visible,competition_level,photo_quality_level,same_products_many,can_make_better,ip_risk,safe_alternative,manual_status,notes
CHECK-001,KEYCHAIN-001,брелок с именем,OZON_WB,available,yes,10,80,299,26337,yes,high,unknown,yes,maybe,low,not required,needs_recheck,OZON public snippets show many items price 80-299 reviews up to 26337 WB needs manual recheck
CHECK-002,KEYCHAIN-014,жетон для питомца,OZON_WB,unavailable,unknown,0,не удалось определить,не удалось определить,не удалось определить,unknown,unknown,unknown,unknown,unknown,low,not required,needs_recheck,official OZON WB results not confirmed in limited check requires manual browser recheck
CHECK-003,KEYCHAIN-010,брелок номерок,OZON_WB,available,yes,10,112,291,309,yes,medium,unknown,yes,maybe,low,not required,needs_recheck,OZON public snippets show номерок and госномер items price 112-291 reviews up to 309 WB needs manual recheck
CHECK-004,KEYCHAIN-013,брелок лапка,OZON_WB,available,yes,1,181,218,не удалось определить,unknown,unknown,unknown,unknown,maybe,low,not required,needs_recheck,OZON public snippet shows one lapka item price 181-218 reviews not visible WB needs manual recheck
CHECK-005,KEYCHAIN-042,брелок геймпад,OZON_WB,unavailable,unknown,0,не удалось определить,не удалось определить,не удалось определить,unknown,unknown,unknown,unknown,unknown,medium,универсальный геймпад без логотипов,needs_recheck,official OZON WB results not confirmed avoid PlayStation Xbox Nintendo logos
CHECK-006,KEYCHAIN-045,брелок пиксельный меч,OZON_WB,not_checked,unknown,0,,,,unknown,unknown,unknown,unknown,unknown,low,not required,not_checked,общая игровая тема без бренда
CHECK-007,KEYCHAIN-050,брелок кубик d20,OZON_WB,not_checked,unknown,0,,,,unknown,unknown,unknown,unknown,unknown,low,not required,not_checked,общая игровая и настольная тема
CHECK-008,KEYCHAIN-053,брелок minecraft,OZON_WB,not_checked,unknown,0,,,,unknown,unknown,unknown,unknown,unknown,high,пиксельный игровой брелок,not_checked,только поисковая гипотеза не копировать бренд персонажей логотипы
CHECK-009,KEYCHAIN-059,брелок stalker,OZON_WB,not_checked,unknown,0,,,,unknown,unknown,unknown,unknown,unknown,high,постапокалиптический жетон,not_checked,только поисковая гипотеза не копировать бренд персонажей логотипы
CHECK-010,KEYCHAIN-062,брелок fallout,OZON_WB,not_checked,unknown,0,,,,unknown,unknown,unknown,unknown,unknown,high,ретро-футуристический жетон,not_checked,только поисковая гипотеза не копировать бренд персонажей логотипы
